,strain,pool
0,leaf_12209,test
1,leaf_2253,test
2,leaf_6002,test
3,leaf_775,test
4,leaf_22734,test
5,leaf_5907,test
6,leaf_15154,test
7,leaf_3810,test
8,leaf_11211,test
9,leaf_3909,test
10,leaf_4727,test
11,leaf_20497,test
12,leaf_18857,test
13,leaf_8154,test
14,leaf_17137,test
15,leaf_5331,test
16,leaf_19425,test
17,leaf_4161,test
18,leaf_16171,test
19,leaf_5086,test
20,leaf_9253,test
21,leaf_21344,test
22,leaf_8650,test
23,leaf_6707,test
24,leaf_5042,test
25,leaf_1863,test
26,leaf_19648,test
27,leaf_10754,test
28,leaf_4744,test
29,leaf_22970,test
30,leaf_7774,test
31,leaf_16743,test
32,leaf_19446,test
33,leaf_18655,test
34,leaf_2252,test
35,leaf_3801,test
36,leaf_18885,test
37,leaf_12679,test
38,leaf_18492,test
39,leaf_14172,test
40,leaf_4730,test
41,leaf_8028,test
42,leaf_204,test
43,leaf_8150,test
44,leaf_5893,test
45,leaf_17693,test
46,leaf_12421,test
47,leaf_5265,test
48,leaf_1990,test
49,leaf_4704,test
50,leaf_18452,test
51,leaf_8613,test
52,leaf_1541,test
53,leaf_5657,test
54,leaf_5915,test
55,leaf_3446,test
56,leaf_14705,test
57,leaf_22481,test
58,leaf_18551,test
59,leaf_17020,test
60,leaf_16400,test
61,leaf_12194,test
62,leaf_4546,test
63,leaf_13196,test
64,leaf_7171,test
65,leaf_22871,test
66,leaf_14823,test
67,leaf_2964,test
68,leaf_21772,test
69,leaf_14524,test
70,leaf_3250,test
71,leaf_4140,test
72,leaf_20790,test
73,leaf_3869,test
74,leaf_20368,test
75,leaf_6849,test
76,leaf_21713,test
77,leaf_9410,test
78,leaf_7485,test
79,leaf_20247,test
80,leaf_16155,test
81,leaf_5635,test
82,leaf_12760,test
83,leaf_16962,test
84,leaf_4301,test
85,leaf_9382,test
86,leaf_11080,test
87,leaf_21808,test
88,leaf_6754,test
89,leaf_19686,test
90,leaf_17535,test
91,leaf_20335,test
92,leaf_19657,test
93,leaf_13401,test
94,leaf_14277,test
95,leaf_936,test
96,leaf_7246,test
97,leaf_17882,test
98,leaf_12883,test
99,leaf_15935,test
100,leaf_12221,test
101,leaf_21995,test
102,leaf_2063,test
103,leaf_18505,test
104,leaf_11659,test
105,leaf_11941,test
106,leaf_19096,test
107,leaf_12045,test
108,leaf_1715,test
109,leaf_15503,test
110,leaf_20971,test
111,leaf_452,test
112,leaf_22229,test
113,leaf_18770,test
114,leaf_6769,test
115,leaf_8664,test
116,leaf_3990,test
117,leaf_9928,test
118,leaf_18193,test
119,leaf_7390,test
120,leaf_13695,test
121,leaf_21737,test
122,leaf_21832,test
123,leaf_14867,test
124,leaf_5682,test
125,leaf_17273,test
126,leaf_5904,test
127,leaf_3100,test
128,leaf_18962,test
129,leaf_13303,test
130,leaf_19794,test
131,leaf_5840,test
132,leaf_18894,test
133,leaf_5834,test
134,leaf_8963,test
135,leaf_18078,test
136,leaf_17122,test
137,leaf_22378,test
138,leaf_4125,test
139,leaf_5838,test
140,leaf_18388,test
141,leaf_9581,test
142,leaf_9059,test
143,leaf_11921,test
144,leaf_4868,test
145,leaf_22691,test
146,leaf_22708,test
147,leaf_3051,test
148,leaf_2432,test
149,leaf_3345,test
150,leaf_17579,test
151,leaf_1434,test
152,leaf_22139,test
153,leaf_10533,test
154,leaf_23053,test
155,leaf_13170,test
156,leaf_4553,test
157,leaf_18457,test
158,leaf_11786,test
159,leaf_12900,test
160,leaf_14068,test
161,leaf_9679,test
162,leaf_21572,test
163,leaf_17350,test
164,leaf_1374,test
165,leaf_16806,test
166,leaf_13177,test
167,leaf_9549,test
168,leaf_16960,test
169,leaf_6412,test
170,leaf_3481,test
171,leaf_21709,test
172,leaf_22930,test
173,leaf_6952,test
174,leaf_16837,test
175,leaf_22531,test
176,leaf_2969,test
177,leaf_20951,test
178,leaf_3625,test
179,leaf_1417,test
180,leaf_8408,test
181,leaf_3417,test
182,leaf_5971,test
183,leaf_16583,test
184,leaf_9896,test
185,leaf_1600,test
186,leaf_17349,test
187,leaf_20762,test
188,leaf_22305,test
189,leaf_6071,test
190,leaf_9133,test
191,leaf_21380,test
192,leaf_15827,test
193,leaf_12506,test
194,leaf_18154,test
195,leaf_7142,test
196,leaf_19563,test
197,leaf_8305,test
198,leaf_19081,test
199,leaf_1321,test
200,leaf_13182,test
201,leaf_20460,test
202,leaf_21826,test
203,leaf_10346,test
204,leaf_14977,test
205,leaf_5308,test
206,leaf_12251,test
207,leaf_9758,test
208,leaf_3576,test
209,leaf_13815,test
210,leaf_13393,test
211,leaf_22757,test
212,leaf_17494,test
213,leaf_20091,test
214,leaf_19207,test
215,leaf_30,test
216,leaf_3910,test
217,leaf_4049,test
218,leaf_15284,test
219,leaf_20173,test
220,leaf_20039,test
221,leaf_2325,test
222,leaf_14594,test
223,leaf_17474,test
224,leaf_16773,test
225,leaf_15185,test
226,leaf_564,test
227,leaf_19913,test
228,leaf_15873,test
229,leaf_6064,test
230,leaf_10861,test
231,leaf_14789,test
232,leaf_1187,test
233,leaf_6608,test
234,leaf_13201,test
235,leaf_10001,test
236,leaf_11257,test
237,leaf_13007,test
238,leaf_20780,test
239,leaf_17893,test
240,leaf_5763,test
241,leaf_11308,test
242,leaf_12333,test
243,leaf_12374,test
244,leaf_9514,test
245,leaf_7802,test
246,leaf_13993,test
247,leaf_22532,test
248,leaf_14069,test
249,leaf_4835,test
250,leaf_7027,test
251,leaf_3820,test
252,leaf_21196,test
253,leaf_11441,test
254,leaf_22056,test
255,leaf_14942,test
256,leaf_1119,test
257,leaf_2919,test
258,leaf_17213,test
259,leaf_16346,test
260,leaf_16584,test
261,leaf_22740,test
262,leaf_7377,test
263,leaf_9520,test
264,leaf_10058,test
265,leaf_7134,test
266,leaf_15617,test
267,leaf_3938,test
268,leaf_10710,test
269,leaf_9612,test
270,leaf_9361,test
271,leaf_6240,test
272,leaf_13831,test
273,leaf_14359,test
274,leaf_12247,test
275,leaf_7244,test
276,leaf_17381,test
277,leaf_8865,test
278,leaf_19165,test
279,leaf_17613,test
280,leaf_22438,test
281,leaf_19412,test
282,leaf_9061,test
283,leaf_12334,test
284,leaf_14961,test
285,leaf_17480,test
286,leaf_19409,test
287,leaf_18893,test
288,leaf_21513,test
289,leaf_3780,test
290,leaf_13180,test
291,leaf_15179,test
292,leaf_13371,test
293,leaf_460,test
294,leaf_22331,test
295,leaf_1629,test
296,leaf_16167,test
297,leaf_12580,test
298,leaf_23055,test
299,leaf_15163,test
300,leaf_10358,test
301,leaf_1515,test
302,leaf_13793,test
303,leaf_4424,test
304,leaf_12913,test
305,leaf_14814,test
306,leaf_9305,test
307,leaf_3451,test
308,leaf_1164,test
309,leaf_1426,test
310,leaf_21083,test
311,leaf_13755,test
312,leaf_18167,test
313,leaf_22372,test
314,leaf_20774,test
315,leaf_19802,test
316,leaf_2899,test
317,leaf_7337,test
318,leaf_3688,test
319,leaf_22008,test
320,leaf_890,test
321,leaf_2335,test
322,leaf_19843,test
323,leaf_16376,test
324,leaf_7084,test
325,leaf_9558,test
326,leaf_3101,test
327,leaf_5015,test
328,leaf_14171,test
329,leaf_8594,test
330,leaf_17797,test
331,leaf_13111,test
332,leaf_5004,test
333,leaf_7380,test
334,leaf_15796,test
335,leaf_6079,test
336,leaf_20192,test
337,leaf_14102,test
338,leaf_13491,test
339,leaf_1089,test
340,leaf_2437,test
341,leaf_8187,test
342,leaf_3149,test
343,leaf_11759,test
344,leaf_16701,test
345,leaf_19668,test
346,leaf_3787,test
347,leaf_3876,test
348,leaf_14864,test
349,leaf_13821,test
350,leaf_9171,test
351,leaf_4733,test
352,leaf_16875,test
353,leaf_9862,test
354,leaf_18813,test
355,leaf_18562,test
356,leaf_15800,test
357,leaf_8346,test
358,leaf_5425,test
359,leaf_18824,test
360,leaf_22833,test
361,leaf_15431,test
362,leaf_7987,test
363,leaf_6883,test
364,leaf_9201,test
365,leaf_4465,test
366,leaf_14968,test
367,leaf_3396,test
368,leaf_10584,test
369,leaf_16296,test
370,leaf_22063,test
371,leaf_12938,test
372,leaf_6203,test
373,leaf_11494,test
374,leaf_15206,test
375,leaf_18498,test
376,leaf_8656,test
377,leaf_20076,test
378,leaf_4638,test
379,leaf_11760,test
380,leaf_15711,test
381,leaf_17106,test
382,leaf_21305,test
383,leaf_23020,test
384,leaf_21562,test
385,leaf_9570,test
386,leaf_16390,test
387,leaf_17789,test
388,leaf_535,test
389,leaf_5248,test
390,leaf_17818,test
391,leaf_14733,test
392,leaf_9109,test
393,leaf_19848,test
394,leaf_2874,test
395,leaf_18210,test
396,leaf_6841,test
397,leaf_21851,test
398,leaf_10725,test
399,leaf_6039,test
400,leaf_6360,test
401,leaf_9182,test
402,leaf_14887,test
403,leaf_6123,test
404,leaf_4263,test
405,leaf_14120,test
406,leaf_10700,test
407,leaf_19640,test
408,leaf_11323,test
409,leaf_11453,test
410,leaf_5697,test
411,leaf_12452,test
412,leaf_20741,test
413,leaf_19405,test
414,leaf_5378,test
415,leaf_7188,test
416,leaf_11234,test
417,leaf_1095,test
418,leaf_16115,test
419,leaf_2870,test
420,leaf_4581,test
421,leaf_18638,test
422,leaf_73,test
423,leaf_10721,test
424,leaf_1302,test
425,leaf_4960,test
426,leaf_20966,test
427,leaf_2885,test
428,leaf_2387,test
429,leaf_17374,test
430,leaf_7511,test
431,leaf_16974,test
432,leaf_9746,test
433,leaf_6489,test
434,leaf_8022,test
435,leaf_17277,test
436,leaf_7437,test
437,leaf_21907,test
438,leaf_2196,test
439,leaf_8387,test
440,leaf_10104,test
441,leaf_5435,test
442,leaf_8802,test
443,leaf_10285,test
444,leaf_11512,test
445,leaf_19229,test
446,leaf_7063,test
447,leaf_12970,test
448,leaf_15888,test
449,leaf_428,test
450,leaf_17139,test
451,leaf_8003,test
452,leaf_850,test
453,leaf_22146,test
454,leaf_7682,test
455,leaf_2233,test
456,leaf_13,test
457,leaf_5775,test
458,leaf_14301,test
459,leaf_18915,test
460,leaf_5131,test
461,leaf_2115,test
462,leaf_9102,test
463,leaf_14183,test
464,leaf_7384,test
465,leaf_10187,test
466,leaf_18100,test
467,leaf_6003,test
468,leaf_6318,test
469,leaf_10413,test
470,leaf_1966,test
471,leaf_17949,test
472,leaf_6364,test
473,leaf_12368,test
474,leaf_1229,test
475,leaf_19297,test
476,leaf_10202,test
477,leaf_12331,test
478,leaf_18221,test
479,leaf_12173,test
480,leaf_7687,test
481,leaf_3849,test
482,leaf_16301,test
483,leaf_3348,test
484,leaf_15611,test
485,leaf_15405,test
486,leaf_6614,test
487,leaf_15355,test
488,leaf_11304,test
489,leaf_14697,test
490,leaf_1416,test
491,leaf_19557,test
492,leaf_5977,test
493,leaf_22876,test
494,leaf_22972,test
495,leaf_16991,test
496,leaf_1804,test
497,leaf_14309,test
498,leaf_2344,test
499,leaf_2690,test
500,leaf_215,test
501,leaf_22715,test
502,leaf_17746,test
503,leaf_6850,test
504,leaf_1425,test
505,leaf_13872,test
506,leaf_15305,test
507,leaf_12483,test
508,leaf_1610,test
509,leaf_7560,test
510,leaf_16449,test
511,leaf_8746,test
512,leaf_14164,test
513,leaf_22843,test
514,leaf_457,test
515,leaf_8300,test
516,leaf_5481,test
517,leaf_6282,test
518,leaf_13046,test
519,leaf_984,test
520,leaf_870,test
521,leaf_17993,test
522,leaf_7506,test
523,leaf_736,test
524,leaf_14755,test
525,leaf_16123,test
526,leaf_7204,test
527,leaf_18497,test
528,leaf_6434,test
529,leaf_2041,test
530,leaf_8993,test
531,leaf_10917,test
532,leaf_5468,test
533,leaf_17094,test
534,leaf_730,test
535,leaf_18325,test
536,leaf_19479,test
537,leaf_5962,test
538,leaf_20725,test
539,leaf_4243,test
540,leaf_1356,test
541,leaf_7143,test
542,leaf_9830,test
543,leaf_10039,test
544,leaf_18643,test
545,leaf_20949,test
546,leaf_2751,test
547,leaf_21802,test
548,leaf_10199,test
549,leaf_6058,test
550,leaf_15636,test
551,leaf_6074,test
552,leaf_21551,test
553,leaf_9532,test
554,leaf_19751,test
555,leaf_21240,test
556,leaf_12892,test
557,leaf_871,test
558,leaf_5073,test
559,leaf_19669,test
560,leaf_6288,test
561,leaf_9883,test
562,leaf_16202,test
563,leaf_15868,test
564,leaf_431,test
565,leaf_9308,test
566,leaf_16297,test
567,leaf_13787,test
568,leaf_11992,test
569,leaf_13967,test
570,leaf_7937,test
571,leaf_20398,test
572,leaf_359,test
573,leaf_22234,test
574,leaf_17330,test
575,leaf_16375,test
576,leaf_11301,test
577,leaf_14668,test
578,leaf_1914,test
579,leaf_11435,test
580,leaf_8051,test
581,leaf_2279,test
582,leaf_6404,test
583,leaf_6504,test
584,leaf_16394,test
585,leaf_2397,test
586,leaf_8358,test
587,leaf_13232,test
588,leaf_6656,test
589,leaf_17506,test
590,leaf_3220,test
591,leaf_17928,test
592,leaf_1831,test
593,leaf_10975,test
594,leaf_9050,test
595,leaf_18854,test
596,leaf_3723,test
597,leaf_7419,test
