strain	true_subgroup	date	type	subgroup
leaf_0	A	2022-12-16	Train	A
leaf_1	C	2022-12-14	Train	C
leaf_2	A	2022-11-16	Train	A
leaf_3	B	2022-10-18	Train	B
leaf_4	B	2022-10-17	Test	?
leaf_5	A	2022-10-16	Train	A
leaf_6	B	2022-10-11	Test	?
leaf_7	C	2022-10-09	Train	C
leaf_8	B	2022-10-04	Train	B
leaf_9	B	2022-10-04	Train	B
leaf_10	A	2022-10-04	Train	A
leaf_11	C	2022-10-03	Test	?
leaf_12	C	2022-10-02	Train	C
leaf_13	B	2022-09-30	Train	B
leaf_14	B	2022-09-27	Train	B
leaf_15	B	2022-09-24	Train	B
leaf_16	B	2022-09-23	Train	B
leaf_17	C	2022-09-22	Train	C
leaf_18	C	2022-09-21	Train	C
leaf_19	A	2022-09-21	Train	A
leaf_20	C	2022-09-20	Train	C
leaf_21	B	2022-09-19	Train	B
leaf_22	C	2022-09-18	Train	C
leaf_23	C	2022-09-17	Train	C
leaf_24	A	2022-09-16	Test	?
leaf_25	A	2022-09-13	Train	A
leaf_26	B	2022-09-12	Train	B
leaf_27	B	2022-09-12	Test	?
leaf_28	B	2022-09-11	Train	B
leaf_29	A	2022-09-10	Train	A
leaf_30	C	2022-09-09	Train	C
leaf_31	B	2022-09-08	Test	?
leaf_32	C	2022-09-07	Train	C
leaf_33	B	2022-09-07	Train	B
leaf_34	C	2022-09-07	Train	C
leaf_35	B	2022-09-07	Train	B
leaf_36	C	2022-09-04	Train	C
leaf_37	B	2022-09-04	Train	B
leaf_38	B	2022-09-03	Train	B
leaf_39	C	2022-09-03	Train	C
leaf_40	B	2022-09-03	Train	B
leaf_41	A	2022-09-03	Train	A
leaf_42	B	2022-09-02	Test	?
leaf_43	B	2022-09-02	Test	?
leaf_44	C	2022-09-02	Test	?
leaf_45	A	2022-09-01	Train	A
leaf_46	B	2022-09-01	Train	B
leaf_47	B	2022-09-01	Train	B
leaf_48	A	2022-08-31	Train	A
leaf_49	B	2022-08-30	Train	B
leaf_50	C	2022-08-30	Test	?
leaf_51	A	2022-08-30	Train	A
leaf_52	A	2022-08-29	Train	A
leaf_53	B	2022-08-29	Test	?
leaf_54	C	2022-08-29	Train	C
leaf_55	B	2022-08-29	Test	?
leaf_56	B	2022-08-29	Test	?
leaf_57	A	2022-08-29	Train	A
leaf_58	B	2022-08-27	Train	B
leaf_59	A	2022-08-27	Test	?
leaf_60	C	2022-08-27	Train	C
leaf_61	B	2022-08-27	Train	B
leaf_62	B	2022-08-26	Train	B
leaf_63	B	2022-08-26	Test	?
leaf_64	B	2022-08-25	Train	B
leaf_65	B	2022-08-25	Train	B
leaf_66	B	2022-08-25	Train	B
leaf_67	A	2022-08-24	Train	A
leaf_68	C	2022-08-24	Train	C
leaf_69	B	2022-08-24	Train	B
leaf_70	B	2022-08-23	Train	B
leaf_71	C	2022-08-23	Train	C
leaf_72	C	2022-08-23	Train	C
leaf_73	C	2022-08-23	Train	C
leaf_74	A	2022-08-22	Test	?
leaf_75	A	2022-08-22	Train	A
leaf_76	A	2022-08-22	Train	A
leaf_77	A	2022-08-22	Train	A
leaf_78	B	2022-08-22	Train	B
leaf_79	B	2022-08-22	Train	B
leaf_80	C	2022-08-22	Test	?
leaf_81	B	2022-08-21	Train	B
leaf_82	C	2022-08-21	Train	C
leaf_83	C	2022-08-21	Train	C
leaf_84	B	2022-08-20	Train	B
leaf_85	B	2022-08-20	Train	B
leaf_86	B	2022-08-20	Test	?
leaf_87	C	2022-08-20	Test	?
leaf_88	C	2022-08-19	Train	C
leaf_89	A	2022-08-19	Train	A
leaf_90	B	2022-08-19	Train	B
leaf_91	B	2022-08-19	Train	B
leaf_92	C	2022-08-19	Train	C
leaf_93	A	2022-08-19	Train	A
leaf_94	B	2022-08-18	Train	B
leaf_95	A	2022-08-18	Train	A
leaf_96	C	2022-08-17	Train	C
leaf_97	B	2022-08-17	Train	B
leaf_98	A	2022-08-17	Test	?
leaf_99	B	2022-08-17	Train	B
leaf_100	C	2022-08-17	Test	?
leaf_101	B	2022-08-17	Train	B
leaf_102	C	2022-08-17	Train	C
leaf_103	C	2022-08-17	Train	C
leaf_104	A	2022-08-16	Train	A
leaf_105	B	2022-08-16	Train	B
leaf_106	A	2022-08-16	Train	A
leaf_107	C	2022-08-16	Train	C
leaf_108	B	2022-08-16	Train	B
leaf_109	B	2022-08-16	Train	B
leaf_110	B	2022-08-16	Train	B
leaf_111	B	2022-08-16	Train	B
leaf_112	A	2022-08-16	Train	A
leaf_113	C	2022-08-16	Train	C
leaf_114	B	2022-08-16	Train	B
leaf_115	C	2022-08-15	Train	C
leaf_116	A	2022-08-15	Train	A
leaf_117	C	2022-08-15	Train	C
leaf_118	A	2022-08-15	Train	A
leaf_119	C	2022-08-15	Train	C
leaf_120	B	2022-08-15	Train	B
leaf_121	A	2022-08-15	Train	A
leaf_122	C	2022-08-14	Train	C
leaf_123	B	2022-08-14	Test	?
leaf_124	C	2022-08-14	Train	C
leaf_125	B	2022-08-14	Test	?
leaf_126	A	2022-08-14	Train	A
leaf_127	A	2022-08-14	Train	A
leaf_128	B	2022-08-14	Train	B
leaf_129	B	2022-08-14	Train	B
leaf_130	A	2022-08-14	Train	A
leaf_131	A	2022-08-14	Train	A
leaf_132	B	2022-08-13	Test	?
leaf_133	A	2022-08-13	Test	?
leaf_134	A	2022-08-13	Train	A
leaf_135	C	2022-08-13	Test	?
leaf_136	A	2022-08-13	Test	?
leaf_137	C	2022-08-13	Train	C
leaf_138	B	2022-08-13	Train	B
leaf_139	A	2022-08-13	Train	A
leaf_140	B	2022-08-12	Train	B
leaf_141	B	2022-08-12	Train	B
leaf_142	A	2022-08-12	Test	?
leaf_143	C	2022-08-12	Train	C
leaf_144	B	2022-08-12	Test	?
leaf_145	A	2022-08-12	Train	A
leaf_146	A	2022-08-12	Train	A
leaf_147	B	2022-08-12	Train	B
leaf_148	C	2022-08-12	Train	C
leaf_149	A	2022-08-12	Train	A
leaf_150	B	2022-08-12	Train	B
leaf_151	A	2022-08-12	Train	A
leaf_152	B	2022-08-12	Test	?
leaf_153	C	2022-08-11	Test	?
leaf_154	A	2022-08-11	Train	A
leaf_155	B	2022-08-11	Train	B
leaf_156	A	2022-08-11	Train	A
leaf_157	A	2022-08-11	Train	A
leaf_158	B	2022-08-11	Train	B
leaf_159	C	2022-08-11	Train	C
leaf_160	B	2022-08-11	Train	B
leaf_161	C	2022-08-11	Train	C
leaf_162	B	2022-08-11	Test	?
leaf_163	B	2022-08-10	Test	?
leaf_164	A	2022-08-10	Train	A
leaf_165	B	2022-08-10	Train	B
leaf_166	A	2022-08-10	Train	A
leaf_167	B	2022-08-10	Train	B
leaf_168	A	2022-08-10	Train	A
leaf_169	B	2022-08-10	Train	B
leaf_170	B	2022-08-09	Train	B
leaf_171	B	2022-08-09	Train	B
leaf_172	A	2022-08-09	Test	?
leaf_173	B	2022-08-09	Train	B
leaf_174	C	2022-08-09	Train	C
leaf_175	A	2022-08-09	Test	?
leaf_176	B	2022-08-09	Train	B
leaf_177	B	2022-08-09	Train	B
leaf_178	B	2022-08-09	Train	B
leaf_179	A	2022-08-08	Train	A
leaf_180	B	2022-08-08	Train	B
leaf_181	B	2022-08-08	Train	B
leaf_182	C	2022-08-08	Train	C
leaf_183	B	2022-08-08	Train	B
leaf_184	B	2022-08-08	Train	B
leaf_185	C	2022-08-08	Train	C
leaf_186	C	2022-08-08	Train	C
leaf_187	B	2022-08-08	Train	B
leaf_188	B	2022-08-08	Train	B
leaf_189	A	2022-08-08	Train	A
leaf_190	B	2022-08-08	Train	B
leaf_191	B	2022-08-07	Train	B
leaf_192	B	2022-08-07	Train	B
leaf_193	A	2022-08-07	Test	?
